Date,Open,High,Low,Close
2010-01-04,7.6225,7.660714,7.585,7.643214
2010-01-05,7.664286,7.699643,7.616071,7.656429
2010-01-06,7.656429,7.686786,7.526786,7.534643
2010-01-07,7.5625,7.571429,7.466071,7.520714
2010-01-08,7.510714,7.571429,7.466429,7.570714
2010-01-11,7.6,7.607143,7.444643,7.503929
2010-01-12,7.471071,7.491786,7.372143,7.418571
2010-01-13,7.423929,7.533214,7.289286,7.523214
2010-01-14,7.503929,7.516429,7.465,7.479643
2010-01-15,7.533214,7.557143,7.3525,7.354643
2010-01-19,7.440357,7.685357,7.401429,7.68
2010-01-20,7.675357,7.698214,7.482143,7.561786
2010-01-21,7.574286,7.618214,7.400357,7.431071
2010-01-22,7.385,7.410714,7.041429,7.0625
2010-01-25,7.2325,7.310714,7.149643,7.2525
2010-01-26,7.355357,7.6325,7.235,7.355
2010-01-27,7.3875,7.520714,7.126071,7.424286
2010-01-28,7.318929,7.339286,7.096429,7.1175
2010-01-29,7.181429,7.221429,6.794643,6.859286
2010-02-01,6.870357,7,6.832143,6.954643
2010-02-02,6.996786,7.011429,6.906429,6.995
2010-02-03,6.970357,7.15,6.943571,7.115357
2010-02-04,7.026071,7.084643,6.841786,6.858929
2010-02-05,6.879643,7,6.816071,6.980714
2010-02-08,6.988929,7.067143,6.928571,6.932857
2010-02-09,7.015,7.053571,6.955357,7.006786
2010-02-10,6.996071,7.021429,6.937857,6.968571
2010-02-11,6.96,7.133929,6.930714,7.095357
2010-02-12,7.075357,7.201429,6.982143,7.156429
2010-02-16,7.212143,7.274643,7.197143,7.264286
2010-02-17,7.2925,7.296786,7.173571,7.233929
2010-02-18,7.201071,7.281786,7.175714,7.2475
2010-02-19,7.209286,7.257143,7.1825,7.2025
2010-02-22,7.226429,7.232143,7.113929,7.157857
2010-02-23,7.142857,7.190357,6.989643,7.037857
2010-02-24,7.079643,7.194286,7.065714,7.166429
2010-02-25,7.049286,7.245,7.031786,7.214286
2010-02-26,7.227857,7.3275,7.214286,7.307857
2010-03-01,7.348214,7.482143,7.3375,7.463929
2010-03-02,7.4975,7.529643,7.419286,7.458929
2010-03-03,7.462143,7.495357,7.426429,7.476071
2010-03-04,7.474286,7.532857,7.451071,7.525357
2010-03-05,7.676429,7.846429,7.665357,7.819643
2010-03-08,7.8575,7.860357,7.794643,7.824286
2010-03-09,7.796786,8.035714,7.781786,7.965
2010-03-10,7.993929,8.052857,7.971429,8.03
2010-03-11,7.996786,8.053571,7.975714,8.053571
2010-03-12,8.120357,8.133214,8.0625,8.092857
2010-03-15,8.049286,8.053571,7.866071,7.994286
2010-03-16,8.006429,8.035,7.946786,8.016071
2010-03-17,8.032143,8.0875,7.973929,8.004286
2010-03-18,8.003571,8.035714,7.950357,8.023214
2010-03-19,8.028214,8.044286,7.901071,7.9375
2010-03-22,7.873929,8.071429,7.8625,8.026786
2010-03-23,8.058571,8.170714,8.003571,8.155714
2010-03-24,8.13,8.221429,8.125357,8.191786
2010-03-25,8.247143,8.248929,8.080357,8.094643
2010-03-26,8.176786,8.283929,8.1625,8.246429
2010-03-29,8.321429,8.3525,8.272143,8.299643
2010-03-30,8.45,8.481429,8.366071,8.423214
2010-03-31,8.410357,8.450357,8.373571,8.392857
2010-04-01,8.478929,8.526071,8.3125,8.4275
2010-04-05,8.392143,8.518214,8.384643,8.5175
2010-04-06,8.507143,8.58,8.464286,8.555
2010-04-07,8.555357,8.64,8.523571,8.592857
2010-04-08,8.587143,8.626429,8.501429,8.569643
2010-04-09,8.6225,8.638929,8.587857,8.635357
2010-04-12,8.65,8.681071,8.636071,8.653214
2010-04-13,8.637857,8.671429,8.611071,8.658214
2010-04-14,8.76,8.778929,8.716786,8.774643
2010-04-15,8.777857,8.893929,8.768214,8.89
2010-04-16,8.8775,8.969286,8.733929,8.835714
2010-04-19,8.8225,8.853214,8.634643,8.823929
2010-04-20,8.876429,8.901786,8.677143,8.735357
2010-04-21,9.242857,9.294643,9.133214,9.257857
2010-04-22,9.222857,9.526786,9.15,9.516786
2010-04-23,9.571071,9.720714,9.535714,9.6725
2010-04-26,9.71,9.730714,9.578214,9.625
2010-04-27,9.545357,9.565714,9.304286,9.358571
2010-04-28,9.401786,9.428571,9.1575,9.342857
2010-04-29,9.393571,9.642857,9.3575,9.594286
2010-04-30,9.618214,9.663214,9.321429,9.324643
2010-05-03,9.422857,9.567143,9.388571,9.5125
2010-05-04,9.388929,9.403214,9.169643,9.238571
2010-05-05,9.036786,9.219286,8.883214,9.1425
2010-05-06,9.065357,9.223214,7.116071,8.794643
2010-05-07,8.703929,8.806071,8.043214,8.423571
2010-05-10,8.9375,9.094643,8.876071,9.071071
2010-05-11,8.994286,9.281786,8.946429,9.161429
2010-05-12,9.258571,9.3975,9.239286,9.360357
2010-05-13,9.400714,9.464286,9.157143,9.227143
2010-05-14,9.112857,9.16,8.910714,9.065
2010-05-17,9.096429,9.149286,8.846786,9.079286
2010-05-18,9.177857,9.233929,8.937857,9.012857
2010-05-19,8.910714,9.032857,8.744643,8.869286
2010-05-20,8.638571,8.708929,8.436071,8.491429
2010-05-21,8.315,8.732143,8.2625,8.654286
2010-05-24,8.831429,8.960714,8.795,8.812857
2010-05-25,8.548214,8.812857,8.47,8.757857
2010-05-26,8.931429,9.004643,8.705357,8.718214
2010-05-27,8.95,9.0675,8.896786,9.048214
2010-05-28,9.263929,9.264286,9.048214,9.174286
2010-06-01,9.274643,9.497857,9.248571,9.315357
2010-06-02,9.447857,9.457143,9.2975,9.426786
2010-06-03,9.470714,9.483929,9.300357,9.397143
2010-06-04,9.221786,9.353571,9.093929,9.141429
2010-06-07,9.224643,9.255357,8.948214,8.962143
2010-06-08,9.044286,9.064286,8.773214,8.904643
2010-06-09,8.981071,8.996429,8.660357,8.685714
2010-06-10,8.744286,8.963571,8.65,8.946786
2010-06-11,8.865357,9.066429,8.834643,9.053929
2010-06-14,9.141429,9.255357,9.071786,9.081429
2010-06-15,9.13,9.280357,9.125,9.274643
2010-06-16,9.325,9.5625,9.308214,9.544643
2010-06-17,9.664286,9.746429,9.625,9.709643
2010-06-18,9.723214,9.821429,9.693571,9.788214
2010-06-21,9.9175,9.964643,9.5975,9.648929
2010-06-22,9.72,9.856071,9.696429,9.780357
2010-06-23,9.806429,9.809286,9.567857,9.6775
2010-06-24,9.678571,9.757143,9.575,9.607143
2010-06-25,9.645,9.6525,9.493214,9.525
2010-06-28,9.533214,9.633929,9.447143,9.582143
2010-06-29,9.432857,9.4425,9.082143,9.148929
2010-06-30,9.168214,9.213214,8.928929,8.983214
2010-07-01,9.082143,9.1,8.686429,8.874286
2010-07-02,8.946071,8.961786,8.685714,8.819286
2010-07-06,8.964286,9.028571,8.791429,8.879643
2010-07-07,8.946071,9.241786,8.919643,9.238214
2010-07-08,9.374286,9.389286,9.103214,9.2175
2010-07-09,9.174643,9.282143,9.112857,9.272143
2010-07-12,9.233214,9.351786,9.102143,9.188929
2010-07-13,9.154286,9.157143,8.801071,8.992857
2010-07-14,8.906429,9.135714,8.892857,9.026071
2010-07-15,8.865357,9.1775,8.832143,8.980357
2010-07-16,9.042143,9.106071,8.871786,8.925
2010-07-19,8.924286,8.924286,8.557143,8.770714
2010-07-20,8.675,9.032143,8.571786,8.996071
2010-07-21,9.4675,9.469643,9.071429,9.08
2010-07-22,9.202857,9.285714,9.118214,9.250714
2010-07-23,9.181786,9.299286,9.152857,9.283571
2010-07-26,9.285714,9.289286,9.203929,9.26
2010-07-27,9.316786,9.457143,9.296429,9.431429
2010-07-28,9.416786,9.499643,9.294643,9.32
2010-07-29,9.311071,9.380357,9.146429,9.218214
2010-07-30,9.138929,9.275,9.103571,9.1875
2010-08-02,9.301429,9.378214,9.272143,9.351786
2010-08-03,9.321786,9.402143,9.265,9.354643
2010-08-04,9.387143,9.438571,9.296786,9.392143
2010-08-05,9.3475,9.399286,9.305357,9.346429
2010-08-06,9.277857,9.338929,9.201071,9.288929
2010-08-09,9.338571,9.3625,9.270357,9.348214
2010-08-10,9.280357,9.301786,9.198214,9.264643
2010-08-11,9.121429,9.131786,8.921786,8.935357
2010-08-12,8.810357,9.039286,8.79,8.9925
2010-08-13,8.9875,8.995714,8.896071,8.896429
2010-08-16,8.842143,8.928929,8.807857,8.844286
2010-08-17,8.931429,9.093929,8.9,8.998929
2010-08-18,9.012857,9.095357,8.985,9.038214
2010-08-19,9.03,9.052857,8.881429,8.924286
2010-08-20,8.906786,9.068571,8.892857,8.915714
2010-08-23,8.9925,9,8.758929,8.778571
2010-08-24,8.666786,8.678571,8.523214,8.568929
2010-08-25,8.501429,8.713929,8.471429,8.674643
2010-08-26,8.766071,8.776786,8.581429,8.581429
2010-08-27,8.633929,8.664643,8.412857,8.629286
2010-08-30,8.598571,8.776786,8.595714,8.660714
2010-08-31,8.6375,8.734286,8.583929,8.682143
2010-09-01,8.838214,8.980714,8.795714,8.940357
2010-09-02,8.973571,9.006071,8.8775,9.006071
2010-09-03,9.110357,9.242143,9.089286,9.241786
2010-09-07,9.165714,9.268929,9.151786,9.2075
2010-09-08,9.277857,9.4425,9.253571,9.39
2010-09-09,9.465714,9.518571,9.39,9.395357
2010-09-10,9.399643,9.446429,9.335714,9.4075
2010-09-13,9.493571,9.581429,9.491429,9.537143
2010-09-14,9.5075,9.613214,9.482857,9.573571
2010-09-15,9.5775,9.656429,9.565714,9.650714
2010-09-16,9.651429,9.881071,9.625,9.8775
2010-09-17,9.9175,9.927143,9.774286,9.834643
2010-09-20,9.86,10.135,9.851786,10.115357
2010-09-21,10.137857,10.2625,10.099643,10.134643
2010-09-22,10.096786,10.285,10.086071,10.276786
2010-09-23,10.226071,10.455714,10.214286,10.318571
2010-09-24,10.432143,10.483214,10.376786,10.44
2010-09-27,10.499286,10.526071,10.393214,10.398571
2010-09-28,10.420357,10.420357,9.821429,10.245
2010-09-29,10.258214,10.350357,10.214286,10.263214
2010-09-30,10.321429,10.357143,10.044643,10.133929
2010-10-01,10.219643,10.235,10.048214,10.09
2010-10-04,10.057143,10.103571,9.920357,9.951429
2010-10-05,10.071429,10.3375,10.065,10.319286
2010-10-06,10.3425,10.428214,10.187857,10.328214
2010-10-07,10.369286,10.374286,10.246786,10.329286
2010-10-08,10.418214,10.517857,10.357143,10.5025
2010-10-11,10.526429,10.615714,10.521429,10.548571
2010-10-12,10.550357,10.696429,10.446071,10.662143
2010-10-13,10.721429,10.784286,10.707143,10.719286
2010-10-14,10.774643,10.8025,10.728571,10.796786
2010-10-15,10.98,11.25,10.889643,11.240714
2010-10-18,11.373929,11.392857,11.224643,11.357143
2010-10-19,10.835714,11.206071,10.715,11.053214
2010-10-20,11.035714,11.223214,10.959643,11.090357
2010-10-21,11.155714,11.240714,10.957143,11.054286
2010-10-22,11.038214,11.072857,10.939286,10.981071
2010-10-25,11.038929,11.128571,11.015714,11.03
2010-10-26,10.959643,11.062143,10.916071,11.001786
2010-10-27,10.9875,11.067857,10.914286,10.993929
2010-10-28,10.998214,11,10.746429,10.901429
2010-10-29,10.865357,10.924286,10.745357,10.749286
2010-11-01,10.793571,10.914286,10.792857,10.863571
2010-11-02,10.964286,11.078214,10.964286,11.048571
2010-11-03,11.120357,11.174286,11.018929,11.171429
2010-11-04,11.266071,11.435,11.251071,11.366786
2010-11-05,11.356786,11.413214,11.3125,11.326071
2010-11-08,11.328571,11.420357,11.312857,11.379286
2010-11-09,11.466071,11.475,11.232143,11.288571
2010-11-10,11.308571,11.384643,11.198214,11.358214
2010-11-11,11.25,11.371429,11.223214,11.308929
2010-11-12,11.285714,11.303571,10.843929,11.001071
2010-11-15,11.016429,11.090714,10.938214,10.965714
2010-11-16,10.918571,10.985714,10.69,10.771071
2010-11-17,10.757143,10.856786,10.634286,10.732143
2010-11-18,10.9,11.059643,10.881786,11.015357
2010-11-19,10.998929,11.014286,10.901429,10.954643
2010-11-22,10.952857,11.191429,10.923929,11.191429
